,Response_Date,Day,Response_Time,Week,Time_Bucket,Agency_Type,Incident_Type,Problem,Cross_Street_Inter,Latitude,Longitude,Primary Police Dept,Place Name Census,General_Location
0,2022-01-01,Saturday,00:55,52,1,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Wyldewood Dr at Trailsway,43.126152,-89.367202,MADC-Madison City,Madison,Outside
1,2022-01-01,Saturday,15:19,52,4,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Roth St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
2,2022-01-02,Sunday,03:08,52,1,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Sherman Ave at Fordem Ct,43.098898,-89.365781,MADT-Madison Town,Madison,Outside
3,2022-01-02,Sunday,03:48,52,1,Law Enforcement,C-Charlie-Law,Suspicious Vehicle,Lakewood Blvd at Wilder Dr,43.110962,-89.369111,MAPV-Maple Bluff Village,Maple Bluff,Interior
4,2022-01-02,Sunday,16:22,52,5,Law Enforcement,B-Bravo-Law,911 Unintentional/Callercontct,Cambridge Rd at Fisk Pl,43.108498,-89.368549,MAPV-Maple Bluff Village,Maple Bluff,Interior
5,2022-01-03,Monday,14:40,1,4,Law Enforcement,C-Charlie-Law,Suspicious Vehicle,Farwell Dr at Coleman Rd,43.115041,-89.373627,MAPV-Maple Bluff Village,Maple Bluff,Interior
6,2022-01-04,Tuesday,20:46,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Lakewood Blvd  at  Kensington Dr,43.110962,-89.369111,MAPV-Maple Bluff Village,Maple Bluff,Interior
7,2022-01-05,Wednesday,00:46,1,1,Law Enforcement,B-Bravo-Law,Traffic Stop,E Johnson St  at  N Dickinson St,43.090752,-89.367282,MADC-Madison City,Madison,Outside
8,2022-01-05,Wednesday,01:45,1,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Packers Ave at Scofield St,43.105412,-89.352477,MADC-Madison City,Madison,Outside
9,2022-01-05,Wednesday,14:44,1,4,Law Enforcement,A-Alpha-Law,Follow Up,Bayside Dr at Roxbury Rd,43.102809,-89.366918,MAPV-Maple Bluff Village,Madison,Outside
10,2022-01-05,Wednesday,16:10,1,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Butternut Rd  at  Summit Rd,43.115725,-89.378281,MAPV-Maple Bluff Village,Maple Bluff,Interior
11,2022-01-06,Thursday,20:29,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  Mcguire St,43.097249,-89.363822,MADC-Madison City,Madison,Outside
12,2022-01-07,Friday,00:24,1,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Sheridan St,43.12918,-89.363511,MADC-Madison City,Madison,Outside
13,2022-01-07,Friday,01:15,1,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Aberg Ave,43.114241,-89.363788,MADC-Madison City,Madison,Outside
14,2022-01-07,Friday,06:06,1,2,Law Enforcement,O-Omega-Law,Information (Law),Kennedy Rd at KENNEDY HTS,43.140251,-89.388066,MADC-Madison City,Madison,Outside
15,2022-01-07,Friday,17:59,1,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Mac Pherson St  at  Fremont Ave,43.119037,-89.364925,MADC-Madison City,Madison,Outside
16,2022-01-07,Friday,18:19,1,5,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
17,2022-01-07,Friday,20:46,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Kensington Dr  at  Cambridge Rd,43.108498,-89.368549,MAPV-Maple Bluff Village,Maple Bluff,Interior
18,2022-01-08,Saturday,17:58,1,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Cambridge Ct  at  Cambridge Rd,43.105895,-89.367846,MAPV-Maple Bluff Village,Maple Bluff,Interior
19,2022-01-08,Saturday,18:03,1,5,Law Enforcement,C-Charlie-Law,Suspicious Person,Cambridge Ct at Cambridge Rd,43.105895,-89.367846,MAPV-Maple Bluff Village,Maple Bluff,Interior
20,2022-01-09,Sunday,01:36,1,1,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Regas Rd at Dempsey Rd,43.098274,-89.317537,MADC-Madison City,Madison,Outside
21,2022-01-09,Sunday,13:23,1,4,Law Enforcement,D-Delta-Law,Traffic Complaint,Commercial Ave at Roxbury Rd,43.106801,-89.363898,MAPV-Maple Bluff Village,Madison,Outside
22,2022-01-09,Sunday,14:32,1,4,Law Enforcement,B-Bravo-Law,Traffic Stop,Commercial Ave  at  Ruskin St,43.106825,-89.361134,MADC-Madison City,Madison,Outside
23,2022-01-09,Sunday,16:30,1,5,Law Enforcement,B-Bravo-Law,Juvenile Complaint,Cambridge Rd  at  Kensington Dr,43.108498,-89.368549,MAPV-Maple Bluff Village,Maple Bluff,Interior
24,2022-01-09,Sunday,20:46,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  Fordem Ct,43.098124,-89.364115,MADT-Madison Town,Madison,Outside
25,2022-01-09,Sunday,22:31,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Lakewood Blvd,43.104391,-89.363959,MAPV-Maple Bluff Village,Madison,Outside
26,2022-01-09,Sunday,23:36,1,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  Fordem Ct,43.098124,-89.364115,MADC-Madison City,Madison,Outside
27,2022-01-10,Monday,00:55,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
28,2022-01-10,Monday,19:23,2,5,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Aberg Ave,43.114241,-89.363788,MADC-Madison City,Madison,Outside
29,2022-01-10,Monday,20:01,2,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Logan St at Farragut St,43.117736,-89.36607,MADC-Madison City,Madison,Outside
30,2022-01-10,Monday,20:20,2,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Roth St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
31,2022-01-10,Monday,20:39,2,6,Law Enforcement,B-Bravo-Law,Arrested Adult,N Sherman Ave at Roth St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
32,2022-01-10,Monday,23:07,2,6,Law Enforcement,C-Charlie-Law,Suspicious Vehicle,Woodland Cir at Lakewood Blvd,43.110566,-89.368597,MAPV-Maple Bluff Village,Maple Bluff,Interior
33,2022-01-10,Monday,23:22,2,6,Law Enforcement,B-Bravo-Law,Arrested Adult,N Baldwin St  at  E Johnson St,43.08949,-89.36908,MADC-Madison City,Madison,Outside
34,2022-01-11,Tuesday,01:28,2,1,Ems Fire,Ems - Single Unit,26A10-Sick/Unwell Or Ill,N Sherman Ave at Kensington Dr,43.107673,-89.365189,MAPV-Maple Bluff Village,Maple Bluff,Edge
35,2022-01-11,Tuesday,10:45,2,3,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Windom Way at Northport Dr,43.129106,-89.358931,MADC-Madison City,Madison,Outside
36,2022-01-11,Tuesday,22:33,2,6,Law Enforcement,C-Charlie-Law,Suspicious Person,Lakewood Blvd  at  Cambridge Rd,43.109773,-89.367587,MAPV-Maple Bluff Village,Maple Bluff,Interior
37,2022-01-12,Wednesday,04:37,2,2,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,S Page St  at  W Jefferson St,42.915883,-89.22354,STOC-Stoughton City,Stoughton,Outside
38,2022-01-12,Wednesday,15:55,2,5,Law Enforcement,C-Charlie-Law,Check Property,Kings Way at McBride Rd,43.118567,-89.375547,MAPV-Maple Bluff Village,Maple Bluff,Interior
39,2022-01-12,Wednesday,18:03,2,5,Law Enforcement,D-Delta-Law,Traffic Complaint,N Sherman Ave  at  Commercial Ave,43.106801,-89.363898,MADC-Madison City,Madison,Outside
40,2022-01-12,Wednesday,23:19,2,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Michigan Ct,43.105076,-89.363942,MAPV-Maple Bluff Village,Maple Bluff,Edge
41,2022-01-12,Wednesday,23:38,2,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Lakewood Blvd  at  Del Mar Dr,43.110962,-89.369111,MAPV-Maple Bluff Village,Maple Bluff,Interior
42,2022-01-13,Thursday,00:10,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Few St at N Baldwin St,43.089535,-89.369142,MADC-Madison City,Madison,Outside
43,2022-01-13,Thursday,02:19,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,E Johnson St  at  N Dickinson St,43.090752,-89.367282,MADC-Madison City,Madison,Outside
44,2022-01-13,Thursday,07:08,2,2,Law Enforcement,C-Charlie-Law,Unwanted Person,Roxbury Rd at Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Interior
45,2022-01-13,Thursday,23:56,2,6,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Kedzie St at Myrtle St,43.109995,-89.347437,MADC-Madison City,Madison,Outside
46,2022-01-14,Friday,00:23,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Superior St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
47,2022-01-14,Friday,01:44,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  Northfield Pl,43.095371,-89.363458,MADC-Madison City,Madison,Outside
48,2022-01-14,Friday,02:38,2,1,Law Enforcement,C-Charlie-Law,Check Property,Roxbury Rd at Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Interior
49,2022-01-14,Friday,15:32,2,4,Law Enforcement,B-Bravo-Law,Ac-Assist Citizen,Farwell Dr at Farwell Ct,43.119079,-89.377805,MAPV-Maple Bluff Village,Maple Bluff,Interior
50,2022-01-14,Friday,19:47,2,5,Law Enforcement,C-Charlie-Law,Safety Hazard,Sherman Ave  at  Sherman Ter,43.103358,-89.363991,MADC-Madison City,Madison,Outside
51,2022-01-14,Friday,20:19,2,6,Law Enforcement,C-Charlie-Law,Suspicious Vehicle,Cambridge Ct at Lakewood Blvd,43.109773,-89.367587,MAPV-Maple Bluff Village,Maple Bluff,Interior
52,2022-01-14,Friday,21:05,2,6,Law Enforcement,C-Charlie-Law,Accident-No Injury,Aberg Ave  at  Shopko Dr,43.110771,-89.346908,MADC-Madison City,Madison,Outside
53,2022-01-14,Friday,22:52,2,6,Law Enforcement,B-Bravo-Law,Traffic Stop,E Johnson St  at  N Few St,43.088228,-89.370826,MADC-Madison City,Madison,Outside
54,2022-01-15,Saturday,00:26,2,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  E Johnson St,43.093294,-89.363614,MADC-Madison City,Madison,Outside
55,2022-01-15,Saturday,10:00,2,3,Ems Fire,Ems - Charlie - Medical,26C2-Sick/Abnorm Breath,Roxbury Rd at Cambridge Rd,43.105264,-89.366529,MAPV-Maple Bluff Village,Maple Bluff,Interior
56,2022-01-15,Saturday,10:01,2,3,Law Enforcement,D-Delta-Law,Aa-Assist Ambulance,Roxbury Rd at Cambridge Rd,43.105264,-89.366529,MAPV-Maple Bluff Village,Maple Bluff,Interior
57,2022-01-15,Saturday,15:03,2,4,Law Enforcement,B-Bravo-Law,Traffic Stop,Kensington Dr  at  Woodland Cir,43.112274,-89.368478,MAPV-Maple Bluff Village,Maple Bluff,Interior
58,2022-01-15,Saturday,15:36,2,4,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Marston Ave,43.090012,-89.368416,MADC-Madison City,Madison,Outside
59,2022-01-15,Saturday,16:45,2,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Wilder Dr at Butternut Rd,43.114467,-89.378075,MAPV-Maple Bluff Village,Maple Bluff,Interior
60,2022-01-16,Sunday,02:20,2,1,Law Enforcement,C-Charlie-Law,Check Property,N Sherman Ave  at  Roxbury Rd,43.107673,-89.365189,MAPV-Maple Bluff Village,Maple Bluff,Edge
61,2022-01-16,Sunday,15:31,2,4,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Marston Ave,43.090012,-89.368416,MADC-Madison City,Madison,Outside
62,2022-01-17,Monday,01:42,3,1,Law Enforcement,C-Charlie-Law,Check Property,N Sherman Ave  at  Roxbury Rd,43.107673,-89.365189,MAPV-Maple Bluff Village,Maple Bluff,Edge
63,2022-01-17,Monday,01:53,3,1,Law Enforcement,D-Delta-Law,911 Abandoned,Bayside Dr at Roxbury Rd,43.102809,-89.366918,MAPV-Maple Bluff Village,Madison,Outside
64,2022-01-17,Monday,15:48,3,4,Law Enforcement,D-Delta-Law,Alarm,Woodland Cir at Lakewood Blvd,43.110566,-89.368597,MAPV-Maple Bluff Village,Maple Bluff,Interior
65,2022-01-17,Monday,16:41,3,5,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
66,2022-01-17,Monday,19:47,3,5,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Aberg Ave,43.114241,-89.363788,MADC-Madison City,Madison,Outside
67,2022-01-17,Monday,20:56,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Erie Ct,43.103358,-89.363992,MAPV-Maple Bluff Village,Maple Bluff,Edge
68,2022-01-17,Monday,21:41,3,6,Ems Fire,Ems - Single Unit,17B1G-Falls/Poss Dangerous/Grd,Paget Rd at Sherman Ave,43.098248,-89.368252,MAPV-Maple Bluff Village,Maple Bluff,Edge
69,2022-01-17,Monday,21:42,3,6,Law Enforcement,D-Delta-Law,Aa-Assist Ambulance,Paget Rd at Sherman Ave,43.098248,-89.368252,MAPV-Maple Bluff Village,Maple Bluff,Edge
70,2022-01-17,Monday,22:58,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  Mcguire St,43.097249,-89.363822,MADC-Madison City,Madison,Outside
71,2022-01-17,Monday,23:49,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Shopko Dr at Aberg Ave,43.110771,-89.346908,MADC-Madison City,Madison,Outside
72,2022-01-18,Tuesday,01:49,3,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Baldwin St  at  E Johnson St,43.08949,-89.36908,MADC-Madison City,Madison,Outside
73,2022-01-18,Tuesday,07:30,3,2,Law Enforcement,B-Bravo-Law,911 Unintentional/Callercontct,Bayside Dr at Burrows Rd,43.102809,-89.366918,MAPV-Maple Bluff Village,Madison,Outside
74,2022-01-18,Tuesday,07:35,3,2,Law Enforcement,unknown,unknown,Bayside Dr at Burrows Rd,43.102809,-89.366918,MAPV-Maple Bluff Village,Madison,Outside
